name,selling_price in Ph,year,seller_type,owner,km_driven,ex_showroom_price
Hero Honda CD Deluxe,14700,2005,Individual,2nd owner,30000,
Bajaj Pulsar 150 [2001-2011],18000,2005,Individual,1st owner,21885,
Bajaj CT 100,8000,2005,Individual,2nd owner,82000,
TVS Victor GLX,18000,2005,Individual,1st owner,11000,
Hero Honda Splendor Plus,20000,2005,Individual,1st owner,27370,
Hero CD Dawn,10000,2005,Individual,1st owner,48000,
Royal Enfield Thunderbird 350,59000,2005,Individual,2nd owner,40000,
TVS Victor,10000,2005,Individual,1st owner,55000,54852
Hero Honda CD Deluxe,20000,2005,Individual,1st owner,15000,
Hero Honda Glamour,25000,2006,Individual,1st owner,27000,
Hero Honda Passion Plus,25000,2006,Individual,1st owner,75000,
Bajaj Pulsar 150,15000,2006,Individual,1st owner,55000,
Hero Honda Glamour,15000,2006,Individual,1st owner,80000,
Hero Honda Splendor Plus,20000,2006,Individual,1st owner,23000,
Royal Enfield Thunderbird 350,60000,2006,Individual,1st owner,40000,
Bajaj Pulsar 150,20000,2006,Individual,1st owner,41000,
Bajaj Discover 125,10000,2006,Individual,1st owner,51000,57549
Bajaj Pulsar 150,20000,2006,Individual,1st owner,9500,
Hero Honda Splendor Plus,15000,2006,Individual,1st owner,100000,
Hero Honda Splendor Plus,17600,2006,Individual,1st owner,52000,
Honda Activa [2000-2015],15000,2006,Individual,1st owner,50000,50267
Hero Honda Passion Plus,20000,2006,Individual,1st owner,28000,
Honda Activa [2000-2015],6000,2006,Individual,2nd owner,35000,50267
Hero Honda Splendor Plus,20000,2006,Individual,1st owner,75000,
Royal Enfield Electra 5 S,99000,2006,Individual,2nd owner,36000,
Hero Splendor Plus,25000,2006,Individual,2nd owner,40000,
Hero Honda Splendor,10000,2006,Individual,1st owner,75000,
TVS Apache [2006],15000,2006,Individual,1st owner,40000,
TVS Star City,15000,2006,Individual,1st owner,40000,46575
Hero Honda CBZ extreme,20000,2007,Individual,1st owner,90000,
Bajaj Pulsar 150,50000,2007,Individual,1st owner,52000,
Royal Enfield Electra 5 S,60000,2007,Individual,2nd owner,19612,
Bajaj Pulsar 180,25000,2007,Individual,1st owner,80000,85011
Honda CB Unicorn 150,50000,2007,Individual,1st owner,46000,74295
TVS Sport,12000,2007,Individual,1st owner,72000,
Royal Enfield Bullet 350 [2007-2011],90000,2007,Individual,1st owner,3500,
Bajaj Xcd,25000,2007,Individual,1st owner,75000,
Bajaj Kristal,15000,2007,Individual,1st owner,30000,
Hero Honda Splendor Plus,15000,2007,Individual,1st owner,30000,
Hero Honda Splendor Plus,40000,2007,Individual,1st owner,40000,
Bajaj Pulsar 180,14900,2007,Individual,1st owner,50000,85011
Bajaj Discover 135,12000,2007,Individual,1st owner,60000,
Hero Splendor Plus,12000,2007,Individual,1st owner,100000,
Hero Honda CD Deluxe,12000,2007,Individual,2nd owner,100000,
Bajaj Xcd,25000,2007,Individual,2nd owner,100000,
Hero Honda Passion Plus,18000,2007,Individual,2nd owner,50000,
Bajaj Discover 135,22000,2007,Individual,1st owner,25000,
Bajaj Platina 100,17000,2007,Individual,1st owner,16000,
Hero Honda Splendor Plus,10000,2007,Individual,1st owner,98000,
Honda Shine,20000,2007,Individual,1st owner,80000,
Bajaj Discover 110,15000,2007,Individual,1st owner,70000,52710
Bajaj Pulsar 150 [2001-2011],12000,2007,Individual,2nd owner,100000,
Hero Honda Passion Plus,25000,2007,Individual,1st owner,70000,
Bajaj Pulsar 150,21000,2007,Individual,1st owner,100000,
Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267
Hero Honda CBZ extreme,25000,2007,Individual,1st owner,80000,
Hero Honda Splendor Plus,15000,2007,Individual,1st owner,70000,
Hero Super Splendor,20000,2007,Individual,1st owner,55000,57000
Royal Enfield Bullet 350 [2007-2011],180000,2008,Individual,2nd owner,39000,
Hero Passion Pro 110,15000,2008,Individual,1st owner,60000,
Royal Enfield Electra 4 S,90000,2008,Individual,1st owner,50000,
Bajaj Xcd,25000,2008,Individual,1st owner,54000,
Hero Honda Glamour,30000,2008,Individual,1st owner,7500,
Bajaj Pulsar 180,15000,2008,Individual,1st owner,55000,85011
Bajaj Pulsar 180,30000,2008,Individual,2nd owner,60000,85011
Yamaha FZ16,25000,2008,Individual,1st owner,40000,78712
Honda Aviator,14000,2008,Individual,1st owner,66000,59183
Bajaj Xcd,10000,2008,Individual,1st owner,50000,
Royal Enfield Machismo,75000,2008,Individual,2nd owner,17000,
Royal Enfield Electra 5 S,85000,2008,Individual,1st owner,20000,
Hero Honda Splendor Plus,28000,2008,Individual,1st owner,70889,
Bajaj Boxer,12000,2008,Individual,1st owner,17500,
TVS Spectra,17000,2008,Individual,1st owner,50000,
Bajaj Pulsar 180,20100,2008,Individual,1st owner,36000,85011
Bajaj Discover 150,25000,2008,Individual,1st owner,25000,54299
Hero Honda Super Splendor [2005],20000,2008,Individual,1st owner,54000,
Hero Honda Splendor,25000,2008,Individual,1st owner,38000,
Hero Passion Pro 110,20000,2008,Individual,3rd owner,40000,
Bajaj Xcd,15000,2008,Individual,1st owner,100000,
Bajaj Discover 135,37000,2008,Individual,1st owner,62000,
Hero Honda CD Deluxe,25000,2008,Individual,3rd owner,65000,
Hero Honda Passion Plus,22000,2008,Individual,2nd owner,85000,
Bajaj Pulsar 150 [2001-2011],35000,2008,Individual,1st owner,70000,
Hero Honda Passion Plus,25000,2008,Dealer,2nd owner,100000,
Bajaj Pulsar 150 [2001-2011],30000,2008,Individual,1st owner,19500,
Bajaj Pulsar 150,10000,2008,Individual,1st owner,92233,75000
Hero Honda Splendor NXG,21000,2009,Individual,1st owner,10000,
Yamaha FZ16,30000,2009,Individual,2nd owner,26000,78712
Honda Dio,7500,2009,Individual,2nd owner,16000,
Hero Honda CD Deluxe,25000,2009,Individual,1st owner,50000,
Yamaha FZ16,20000,2009,Individual,1st owner,50000,78712
TVS Scooty Streak,18000,2009,Individual,2nd owner,33595,44140
Hero Honda Hunk,28000,2009,Individual,1st owner,40000,
Honda Activa [2000-2015],10000,2009,Individual,1st owner,60000,50267
Mahindra Flyte,22000,2009,Individual,3rd owner,20000,44493
Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267
Honda Activa [2000-2015],25000,2009,Individual,1st owner,585659,50267
Hero Honda Pleasure,25000,2009,Individual,1st owner,50000,
TVS Streak,20000,2009,Individual,2nd owner,36000,
Bajaj Pulsar 180,35000,2009,Individual,1st owner,19000,85011
Hero Honda Achiever,15000,2009,Individual,1st owner,86000,
TVS Apache RTR 160,15000,2009,Individual,4th owner,880000,
Bajaj Discover 135,30000,2009,Individual,1st owner,20000,
TVS Streak,10000,2009,Individual,1st owner,100000,
Honda Aviator,28000,2009,Individual,1st owner,29625,59183
Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267
Bajaj Xcd,20000,2009,Individual,1st owner,16000,
Yamaha Gladiator,15000,2009,Individual,1st owner,46000,
Bajaj Pulsar 180,30000,2009,Individual,1st owner,17500,85011
Bajaj Pulsar 150,35000,2009,Individual,1st owner,14500,
Bajaj Discover 100,21000,2009,Individual,1st owner,50000,42859
Hero Honda CBZ extreme,40000,2009,Individual,1st owner,50000,
Hero Hunk,20000,2009,Individual,2nd owner,49000,75000
Honda CB Shine,12000,2009,Individual,1st owner,53000,58000
Honda CB Twister,18000,2010,Individual,1st owner,60000,53857
Hero Honda CBZ extreme,30000,2010,Individual,1st owner,32000,
Yamaha YZF R15 S,40000,2010,Individual,2nd owner,45000,117926
Bajaj Discover 100,25000,2010,Individual,1st owner,43000,42859
Royal Enfield Electra 5 S,90000,2010,Individual,2nd owner,40000,
Bajaj Pulsar 150,25000,2010,Individual,1st owner,42000,
Hero Honda Karizma ZMR [2010],50000,2010,Individual,1st owner,48000,
Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000,58314
Suzuki GS150R,30000,2010,Individual,1st owner,130000,70851
TVS Scooty Pep Plus,18000,2010,Individual,1st owner,20000,
Hero Honda CBZ extreme,25000,2010,Individual,1st owner,40000,
Hero Hunk,20000,2010,Individual,1st owner,35000,78513
Hero Honda Pleasure,23000,2010,Individual,1st owner,32000,
Bajaj Pulsar 135 LS,20000,2010,Individual,2nd owner,50000,64589
TVS Flame,15000,2010,Individual,1st owner,12000,
Honda Activa [2000-2015],20000,2010,Individual,1st owner,50000,50267
Honda Shine,30000,2010,Individual,1st owner,46782,
Hero Splendor Plus,17000,2010,Individual,2nd owner,50000,
Bajaj Pulsar 150,35000,2010,Individual,1st owner,40000,
Bajaj Discover 135,20000,2010,Individual,1st owner,31195,
Hero Honda CBZ extreme,42000,2010,Individual,1st owner,51000,
Kawasaki Ninja 250R,125000,2010,Individual,2nd owner,21000,317934
Yamaha FZ16,30000,2010,Individual,1st owner,70000,78712
Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589
Bajaj Pulsar 135 LS,23000,2010,Individual,1st owner,77000,64589
Hero Honda Splendor Plus,18000,2010,Individual,1st owner,35700,
Royal Enfield Thunderbird 350,85000,2010,Individual,1st owner,15000,
Hero Karizma ZMR,37000,2010,Individual,1st owner,27500,108000
Bajaj Pulsar 150 [2001-2011],26500,2010,Individual,1st owner,52500,
Honda CB Unicorn,45000,2010,Individual,1st owner,75000,71681
Honda Shine,25000,2010,Individual,1st owner,20000,
Bajaj Pulsar 135 LS,24000,2010,Individual,1st owner,45000,64589
Bajaj Pulsar 150 [2001-2011],55000,2010,Individual,1st owner,42000,
Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589
Hero Honda CD Deluxe,25000,2010,Individual,1st owner,35000,
Hero Honda Glamour,21000,2010,Individual,1st owner,11000,
Bajaj Pulsar 150 [2001-2011],30000,2010,Individual,2nd owner,55000,
Hero Honda Passion Plus,23500,2010,Individual,1st owner,60000,
Yamaha SZ X,35000,2010,Individual,1st owner,46000,65800
Honda Dio,23000,2010,Individual,1st owner,40000,
Bajaj Avenger [2015],65000,2010,Individual,1st owner,20000,75502
Bajaj Pulsar 150 [2001-2011],35000,2010,Individual,1st owner,60000,
Bajaj Discover 100,25000,2010,Individual,2nd owner,28000,42859
Hero CBZ,35000,2010,Individual,1st owner,36000,
Bajaj Pulsar 150,30000,2010,Individual,1st owner,54000,
Honda Shine,18000,2010,Individual,1st owner,15000,
Honda CB Unicorn 150,30000,2010,Individual,1st owner,69000,74295
Honda Activa [2000-2015],16600,2010,Individual,1st owner,100000,50267
Honda CB Unicorn Dazzler,50000,2010,Individual,1st owner,75000,71757
Bajaj Discover 135,25000,2010,Individual,1st owner,55000,
Hero Honda Splendor Plus,20000,2010,Individual,2nd owner,30000,
Bajaj Pulsar 180,50000,2010,Individual,1st owner,70000,85011
Hero Honda Hunk,35000,2010,Individual,1st owner,13000,
Hero Honda Hunk,40000,2010,Individual,1st owner,41000,
Hero Honda Hunk,20000,2010,Individual,1st owner,17000,
Bajaj Pulsar 150,25000,2010,Individual,2nd owner,26000,75000
Suzuki Access 125,25000,2010,Individual,1st owner,1900,58000
Bajaj Pulsar 150,20000,2010,Individual,1st owner,60000,75000
Hero  CBZ Xtreme,20000,2010,Individual,1st owner,50000,78700
Activa 3g,17000,2010,Individual,1st owner,500000,52000
Yamaha SZ [2013-2014],20000,2011,Individual,2nd owner,21000,
Hero Honda Passion PRO [2012],30000,2011,Individual,1st owner,42000,
Bajaj Discover 125,25000,2011,Individual,1st owner,57000,60122
Bajaj Pulsar 150 [2001-2011],42000,2011,Individual,1st owner,23000,
Bajaj Discover 125,15000,2011,Individual,1st owner,32000,57549
Honda Shine,36999,2011,Individual,1st owner,21000,
Yamaha FZ16,27000,2011,Individual,1st owner,67000,78712
Bajaj Avenger [2015],35000,2011,Individual,1st owner,30000,75502
TVS Scooty Pep Plus,30000,2011,Individual,1st owner,20000,
Hero Honda Passion PRO [2012],25000,2011,Individual,1st owner,20000,
Yamaha FZ16,30000,2011,Individual,1st owner,44000,78712
TVS Apache RTR 160,35000,2011,Individual,1st owner,25000,
Bajaj Discover 100 M,20000,2011,Individual,1st owner,37734,44756
Royal Enfield Bullet 350 [2007-2011],65000,2011,Individual,2nd owner,65000,
Bajaj Pulsar 150,35000,2011,Individual,1st owner,35600,
Honda CB Unicorn Dazzler,22000,2011,Individual,1st owner,38350,71757
Suzuki Access 125 [2007-2016],16000,2011,Individual,1st owner,40000,58314
Honda CBR-250R,100000,2011,Individual,2nd owner,3500,171646
Honda Activa 3G,25000,2011,Individual,1st owner,20000,54605
Bajaj Discover 100,30000,2011,Individual,1st owner,45000,42859
Bajaj Pulsar 150,35000,2011,Individual,1st owner,36000,
Bajaj Pulsar 150,16000,2011,Individual,2nd owner,59000,
Bajaj Discover 150,30000,2011,Individual,2nd owner,39500,54299
Bajaj Pulsar 150,22000,2011,Individual,1st owner,60000,
Hero Honda Passion PRO [2012],28000,2011,Individual,2nd owner,60000,
Hero Honda CD Deluxe,15000,2011,Individual,1st owner,70000,
Yamaha YZF R15 [2011-2018],65000,2011,Individual,1st owner,29000,
Bajaj Pulsar 220 DTS-i,40000,2011,Individual,1st owner,26000,
Hero Honda Karizma,40000,2011,Individual,2nd owner,340000,
Bajaj Pulsar 135 LS,25000,2011,Individual,2nd owner,30000,64589
TVS Star City,21000,2011,Individual,1st owner,101000,47108
Bajaj Discover 125,15000,2011,Individual,1st owner,47000,57549
TVS Wego,15000,2011,Individual,1st owner,65000,54760
Bajaj Pulsar 150,35000,2011,Individual,1st owner,50000,
Bajaj Discover 150,25000,2011,Individual,1st owner,52000,54299
Bajaj Avenger [2015],45000,2011,Individual,1st owner,35000,75502
Bajaj Pulsar 220F,50000,2011,Individual,2nd owner,55000,
TVS Wego,15000,2011,Individual,2nd owner,20000,54760
Hero Honda CBZ extreme,35000,2011,Individual,1st owner,35000,
Hero Splendor PRO,24000,2011,Individual,1st owner,43000,51994
Yamaha FZ S [2012-2016],40000,2011,Individual,1st owner,82000,79432
Bajaj Pulsar 135 LS,20000,2011,Individual,1st owner,60000,64589
Hero Splendor NXG,18000,2011,Individual,1st owner,35000,44814
Hero Glamour 125,15000,2011,Individual,1st owner,75000,61600
Bajaj Discover 125,25000,2011,Individual,1st owner,70000,57549
Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757
Hero Honda CBZ extreme,35000,2011,Individual,1st owner,28000,
Suzuki SlingShot,24000,2011,Individual,1st owner,17000,
Bajaj Pulsar 180,25000,2011,Individual,1st owner,43000,85011
Kawasaki Ninja 650 [2018-2019],300000,2011,Individual,1st owner,12000,589000
Bajaj Pulsar 220F,45000,2011,Individual,1st owner,40000,
Bajaj Pulsar 150 [2001-2011],22000,2011,Individual,1st owner,36000,
Bajaj Pulsar 150,35000,2011,Individual,1st owner,12000,
Yo Style,20000,2011,Individual,1st owner,10000,37675
Hero Super Splendor,30000,2011,Individual,1st owner,89000,
Yamaha Fazer [2009-2016],35000,2011,Individual,1st owner,15500,84751
Bajaj Discover 125,23000,2011,Individual,1st owner,66000,57549
Honda Shine,40000,2011,Individual,1st owner,8600,
Honda Activa [2000-2015],18000,2011,Individual,1st owner,28000,50267
Hero Honda CBZ extreme,30000,2011,Individual,3rd owner,70000,
Royal Enfield Classic 500,90000,2011,Individual,1st owner,40000,175000
Suzuki Access 125 [2007-2016],25000,2012,Individual,1st owner,55000,58314
Honda Dream Yuga,25000,2012,Individual,1st owner,35000,56147
Hero Passion XPro,28000,2012,Individual,1st owner,81000,56750
Yamaha FZ16,35000,2012,Individual,2nd owner,29000,78712
TVS Scooty Pep Plus,35000,2012,Individual,1st owner,8150,
Honda Activa [2000-2015],22989,2012,Individual,1st owner,500000,50267
Bajaj Discover 100,24999,2012,Individual,2nd owner,35000,42859
Bajaj Discover 100,20000,2012,Individual,1st owner,85000,42859
Royal Enfield Classic Desert Storm,100000,2012,Individual,1st owner,15000,181445
Yamaha SZ X,25000,2012,Individual,2nd owner,30000,65800
Bajaj Pulsar 150,41000,2012,Individual,1st owner,17000,
Honda Shine,35000,2012,Individual,1st owner,33700,
Bajaj Pulsar 180,35000,2012,Individual,1st owner,45000,85011
Bajaj Pulsar 220 Fi,25000,2012,Individual,1st owner,44000,
Yamaha Fazer Dlx,58000,2012,Individual,1st owner,40000,
Hero Honda Splendor PRO,30000,2012,Individual,1st owner,22866,
Hero Splendor Plus,25000,2012,Individual,1st owner,50000,
Royal Enfield Thunderbird 350,87000,2012,Individual,1st owner,20477,
Bajaj Pulsar 150,30000,2012,Individual,2nd owner,5000,
Bajaj Pulsar 180,32000,2012,Individual,1st owner,40000,85011
Yamaha Fazer [2009-2016],40000,2012,Individual,1st owner,7353,84751
Bajaj Pulsar 180,38000,2012,Individual,2nd owner,57000,85011
Hero Honda Karizma ZMR [2010],45000,2012,Individual,3rd owner,44000,
Hero Honda Glamour,19000,2012,Individual,1st owner,32000,
Bajaj Discover 125 ST,25000,2012,Individual,1st owner,76000,58438
Bajaj Avenger [2015],35000,2012,Individual,1st owner,15000,75502
Bajaj Pulsar 150,26000,2012,Individual,2nd owner,65000,
Hero Honda CD Deluxe,24700,2012,Individual,2nd owner,40000,
Hero Honda Passion PRO [2012],12000,2012,Individual,1st owner,90000,
Yamaha YZF R15 [2011-2018],60000,2012,Individual,1st owner,22000,118997
Bajaj Discover 150,30000,2012,Individual,1st owner,50000,54299
Bajaj Platina 100,20000,2012,Individual,1st owner,16295,
Bajaj Pulsar NS200,50000,2012,Individual,1st owner,46000,
Honda Activa [2000-2015],25000,2012,Individual,1st owner,40000,50267
Honda Activa [2000-2015],30000,2012,Individual,1st owner,22000,50267
Bajaj Platina 100,20000,2012,Individual,1st owner,16295,
Bajaj Pulsar 150,40000,2012,Individual,2nd owner,37000,
Hero Honda Passion PRO [2012],28700,2012,Individual,2nd owner,49876,
Hero Super Splendor,45000,2012,Individual,1st owner,21000,
TVS Scooty Pep DLX,14500,2012,Individual,1st owner,44000,
Suzuki Access 125 [2007-2016],30000,2012,Individual,1st owner,23000,58314
Honda CB Twister,30000,2012,Individual,1st owner,50000,57241
Hero Honda Glamour,35000,2012,Individual,1st owner,30000,
Suzuki Access 125,20000,2012,Individual,1st owner,24000,
Yamaha Fazer [2009-2016],50000,2012,Individual,1st owner,100000,84751
Hero Honda Passion PRO [2012],25000,2012,Individual,2nd owner,20000,
Honda Activa [2000-2015],25000,2012,Individual,1st owner,38000,50267
Bajaj Discover 125,26000,2012,Individual,1st owner,75000,57549
Suzuki GS150R,27000,2012,Individual,1st owner,14100,70851
Bajaj Pulsar 150,50000,2012,Individual,1st owner,28000,
Hero Honda Splendor NXG,28000,2012,Individual,1st owner,49999,
Hero Pleasure,20000,2012,Individual,2nd owner,30000,49600
Honda CB Unicorn 150,30000,2012,Individual,1st owner,32000,74295
Hero Honda Glamour,45000,2012,Individual,1st owner,75000,
Royal Enfield Thunderbird 350,100000,2012,Individual,1st owner,28000,
Honda Activa [2000-2015],35000,2012,Individual,1st owner,29000,50267
Hero Karizma ZMR,43000,2012,Individual,2nd owner,63000,108000
Bajaj Discover 100,23000,2012,Individual,1st owner,50000,42859
Hero Honda Splendor Plus,25000,2012,Individual,1st owner,70000,
Honda Aviator,25000,2012,Individual,2nd owner,12000,59183
Hero Honda CD Deluxe,25500,2012,Individual,1st owner,28990,
Honda CB Twister,25000,2012,Individual,1st owner,86000,53857
Royal Enfield Electra 5 S,99000,2012,Individual,1st owner,28000,
Royal Enfield Electra 5 S,90000,2012,Individual,1st owner,40000,
Hero Honda CBZ extreme,35000,2012,Individual,1st owner,60000,
Bajaj Pulsar 220 F,52000,2012,Individual,1st owner,45000,94000
Bajaj Avenger 220 dtsi,45000,2012,Individual,1st owner,27000,95000
Honda Karizma,31000,2012,Individual,1st owner,213000,105000
TVS Wego,25000,2012,Individual,1st owner,22000,52000
Honda CB twister,16000,2012,Individual,1st owner,33000,51000
Honda Activa i,32000,2013,Individual,2nd owner,20696,53900
Yamaha Fazer [2009-2016],40000,2013,Individual,3rd owner,35000,84751
Yamaha FZ S [2012-2016],38000,2013,Individual,1st owner,75000,79432
Bajaj Discover 125,25000,2013,Individual,1st owner,55000,57549
Royal Enfield Thunderbird 350,85000,2013,Individual,1st owner,21000,
TVS Apache RTR 160,35000,2013,Individual,1st owner,55750,
Bajaj Pulsar 150,29500,2013,Individual,1st owner,27000,
Honda CB Twister,30000,2013,Individual,1st owner,9000,53857
Bajaj Pulsar 150,40000,2013,Individual,1st owner,43400,
Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000,58438
Hero Xtreme [2013-2014],25000,2013,Individual,1st owner,24000,75936
Harley-Davidson Street Bob,750000,2013,Individual,2nd owner,12000,1278000
KTM 200 Duke,72000,2013,Individual,1st owner,36500,
Hero Karizma 2014,35000,2013,Individual,1st owner,26000,86744
Royal Enfield Classic 350,85000,2013,Individual,1st owner,49000,
Royal Enfield Classic 500,100000,2013,Individual,1st owner,18000,156304
Bajaj Discover 125,28000,2013,Individual,1st owner,45000,60122
Vespa VX 125,45000,2013,Individual,2nd owner,50000,72303
Honda CBF Stunner,35000,2013,Individual,1st owner,15888,58757
Bajaj Discover 100 T,25000,2013,Individual,1st owner,26000,47032
Yamaha YZF R15 [2011-2018],65000,2013,Individual,1st owner,11000,118997
Hero Karizma 2014,40000,2013,Individual,1st owner,30000,86744
Yamaha FZ S [2012-2016],42000,2013,Individual,1st owner,60000,79432
Bajaj Discover 100 T,18000,2013,Individual,1st owner,45000,47032
Honda CB Unicorn 150,75000,2013,Individual,1st owner,54000,74295
Honda CB Unicorn 150,50000,2013,Individual,1st owner,17000,74295
Hero Xtreme 2014,35000,2013,Individual,1st owner,15000,72973
Honda Activa [2000-2015],29500,2013,Individual,1st owner,45000,50267
Honda Aviator,41000,2013,Individual,1st owner,36500,63537
Hero Passion Pro 110,39000,2013,Individual,1st owner,20000,
Hero Karizma [2003-2014],50000,2013,Individual,1st owner,38000,85766
Honda Aviator,28000,2013,Individual,1st owner,28087,63537
Mahindra Rodeo,20000,2013,Individual,1st owner,7000,47343
Bajaj Pulsar 220 Fi,65000,2013,Individual,1st owner,6409,
Bajaj Pulsar NS200,50000,2013,Dealer,1st owner,58203,
Hero Pleasure,30000,2013,Individual,1st owner,24000,51600
Honda Dream Yuga,25000,2013,Individual,1st owner,29000,56147
Hero Splendor Plus,30000,2013,Individual,1st owner,20000,
Bajaj Platina 100,23000,2013,Individual,2nd owner,24000,
Honda Activa [2000-2015],35000,2013,Individual,1st owner,29500,50267
Yamaha YBR 125,35000,2013,Individual,1st owner,20350,54593
Hero Splendor Plus,35000,2013,Individual,1st owner,55000,
Bajaj Pulsar 180,40000,2013,Individual,1st owner,34000,85011
Yamaha Fazer [2009-2016],25000,2013,Individual,1st owner,120000,84751
Hero Karizma [2003-2014],50000,2013,Individual,1st owner,38000,85766
Bajaj Pulsar 220 DTS-i,65000,2013,Individual,1st owner,6409,
Honda CB Trigger,45000,2013,Individual,1st owner,20000,76572
Hero Hunk,35000,2013,Individual,1st owner,50000,78513
Hero Passion Pro 110,60000,2013,Individual,1st owner,15000,
Bajaj Pulsar 150,25000,2013,Individual,2nd owner,70000,
Hero Glamour 125,25000,2013,Individual,1st owner,50000,61600
Hero Pleasure,26500,2013,Individual,1st owner,18860,49600
Hero Glamour 125,54000,2013,Individual,1st owner,17000,61600
Royal Enfield Electra 4 S,80000,2013,Individual,1st owner,46000,
Hero Xtreme [2013-2014],45000,2013,Individual,1st owner,57000,75936
Hero Super Splendor,40000,2013,Individual,1st owner,68000,
Hero Maestro,30000,2013,Individual,1st owner,60000,49412
Hero Passion XPro,25000,2013,Individual,1st owner,25000,59640
Bajaj Platina 100,25000,2013,Individual,1st owner,30000,
Bajaj Discover 100 T,20000,2013,Individual,1st owner,20000,47032
Honda CB Unicorn 150,42000,2013,Individual,1st owner,38000,74295
Honda Shine,30000,2013,Individual,1st owner,93000,
Hero Pleasure [2005-2015],30000,2013,Individual,1st owner,25000,46779
Yamaha YZF R15 [2011-2018],80000,2013,Dealer,1st owner,30000,118997
Yamaha Fazer [2009-2016],40000,2013,Individual,1st owner,34500,84751
Hero Honda Hunk,45000,2013,Individual,1st owner,40000,
Hero Pleasure,30000,2013,Individual,1st owner,25000,49600
Royal Enfield Thunder 350,105000,2013,Individual,1st owner,6900,150000
TVS Apache RTR 180,50000,2013,Individual,1st owner,6000,82600
Bajaj Avenger Street 220,45000,2013,Individual,1st owner,24000,95000
Hero Honda CBZ extreme,38000,2013,Individual,1st owner,75000,78700
Honda Karizma,35000,2013,Individual,1st owner,30000,105000
Bajaj Discover 125,15000,2013,Individual,2nd owner,35000,57000
Royal Enfield Bullet 350,90000,2014,Individual,1st owner,13000,
Hero Xtreme Sports,50000,2014,Individual,1st owner,80000,80350
Hero Hunk,45000,2014,Individual,1st owner,41000,78513
Suzuki Let''s,34000,2014,Individual,1st owner,8000,50098
Hero Splendor Plus,35000,2014,Individual,2nd owner,35000,
Honda CB Unicorn 150,50000,2014,Individual,1st owner,32000,74295
Hero CD Deluxe,25000,2014,Individual,1st owner,70000,
Royal Enfield Thunderbird 350,83900,2014,Individual,2nd owner,22000,
Hero Xtreme Sports,22000,2014,Individual,1st owner,99000,78350
Honda Activa [2000-2015],30000,2014,Individual,1st owner,52000,50267
Bajaj Discover 150,25000,2014,Individual,2nd owner,71000,54299
Honda Activa [2000-2015],25000,2014,Individual,1st owner,41000,50267
Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855,64071
Bajaj Discover 150S,40000,2014,Individual,1st owner,50000,63331
Honda Activa [2000-2015],35000,2014,Individual,1st owner,10000,50267
Hero Karizma 2014,30000,2014,Individual,2nd owner,51000,86744
Yamaha FZ V 2.0,60000,2014,Individual,1st owner,41311,81508
